FID,OBJECTID,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,EXPECT_MAT,Year_rb,Fire_me_rb,Expect_m_1,Region_rb,DPA_rb,Ranger_uni,Ranger_u_1,Start_rb,Contained_,CDF_acres_,Other_acre,Total_acre,Veg_type_r,Cause_rb,Destroyed_,Incident_n,tiol_fores,County_rb,County2_rb,County3_rb,Fire_me2_r,DPA2_rb,Damaged_st,Firefighte,Civilian_f,Total_dama,YEAR1,WUI_area
0,26,CA,CDF,FKU,AUBERRY,00009400,2007-08-28,2007-09-03,10, ,150,150.9360046,2,1,00009400,3302.735287,610816.5577,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2007,7.33542
1,61,CA,CCO,SBC,CEMETERY,00006785,2007-08-20,2007-08-23,8,Children playing with fire,490,501.57901,7,1,00006785,7608.322311,2029816.898,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2007,0.00049
2,172,CA,CDF,BEU,AVENIDA,002277,2007-06-26,2007-06-26,2, ,44,33.9822998,6,1,00000000,1557.021797,137521.5777,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2007,33.9799
3,175,CA,CDF,BEU,OAK,00003420,2007-08-24,2007-08-24,2, ,13,18.52169991,6,1,00000000,1560.826171,74954.53493,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2007,18.52167
4,217,CA,CDF,SCU,STEVENS,00005123,2007-08-30,2007-09-09,11, ,151,166.1549988,2,1,00000000,3946.717054,672405.3061,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2007,69.54641
5,235,CA,CDF,SLU,JOHNSON,00005884,2007-08-01,2007-08-01,11, ,12,13.12520027,1,1,00000000,1624.515709,53115.82251,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2007,0.39571
6,236,CA,CDF,SLU,ADELADIA,00004917,2007-08-01,2007-08-01,2, ,10,16.1821003,1,1,00000000,1844.928539,65486.75651,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2007,16.18213
7,237,CA,CDF,SLU,CUESTA 2,00006403,2007-08-19,2007-08-19,2, ,20,16.54520035,1,1,00000000,1367.497022,66955.97956,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2007,4.65278
8,238,CA,CDF,SLU,RANCH,00006509,2007-08-23,2007-08-23,14, ,58400,12.77970028,1,1,00000000,1388.556215,51717.76841,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2007,0.00103
9,240,CA,CDF,SLU,MORRO,00007061,2007-09-12,2007-09-12,11, ,14,12.73620033,1,1,00000000,1334.892112,51541.55245,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2007,12.73619
10,314,CA,USF,LPF,TORRI,00000040,2007-11-08,2007-11-10,9, ,44,19.52059937,1,1,00000040,1144.750557,78997.01888,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2007,17.8455
11,374,CA,CDF,SLU,HOMESTEAD,00007221,2005-08-25,2005-08-25,2, ,12,11.56869984,1,1,00000329,1000.093462,46816.71748,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2005,11.56866
12,384,CA,CDF,SLU,DONOVAN,00006114,2005-07-24,2005-07-24,10, ,30,32.04840088,6,1,00000250,1594.410335,129695.2941,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2005,32.04841
